Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
FPC1,FFC-SMD_FFC05001-16SBB124W5M,23.24mm,104.52mm,23.24mm,104.52mm,22.03mm,100.77mm,T,90,FFC05001-16SBB124W5M
H1,SENSOR_CONNECTOR_0.3MM,11.3mm,105.28mm,11.3mm,105.28mm,11.3mm,127.78mm,T,270,HDR-F-2.54_1x16
