ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,FFC05001-16SBB124W5M,FPC1,FFC-SMD_FFC05001-16SBB124W5M,1,FFC05001-16SBB124W5M,TXGA(特思嘉),LCSC,C2833986,1.3495
2,HDR-F-2.54_1x16,H1,SENSOR_CONNECTOR_0.3MM,1,,,LCSC,C66987,0.6119
